"","ActivityStartDate","discharge_cfs","Year","Month"
"1",2013-01-01,3120,2013,1
"2",2013-01-02,2740,2013,1
"3",2013-01-03,2430,2013,1
"4",2013-01-04,2190,2013,1
"5",2013-01-05,2180,2013,1
"6",2013-01-06,2110,2013,1
"7",2013-01-07,1850,2013,1
"8",2013-01-08,1600,2013,1
"9",2013-01-09,1400,2013,1
"10",2013-01-10,1260,2013,1
"11",2013-01-11,1170,2013,1
"12",2013-01-12,1090,2013,1
"13",2013-01-13,1050,2013,1
"14",2013-01-14,1020,2013,1
"15",2013-01-15,1030,2013,1
"16",2013-01-16,1030,2013,1
"17",2013-01-17,1010,2013,1
"18",2013-01-18,1050,2013,1
"19",2013-01-19,1200,2013,1
"20",2013-01-20,1930,2013,1
"21",2013-01-21,2750,2013,1
"22",2013-01-22,3140,2013,1
"23",2013-01-23,3360,2013,1
"24",2013-01-24,3510,2013,1
"25",2013-01-25,3530,2013,1
"26",2013-01-26,3480,2013,1
"27",2013-01-27,3420,2013,1
"28",2013-01-28,3270,2013,1
"29",2013-01-29,2540,2013,1
"30",2013-01-30,2170,2013,1
"31",2013-01-31,2050,2013,1
"32",2013-02-01,2030,2013,2
"33",2013-02-02,1950,2013,2
"34",2013-02-03,1850,2013,2
"35",2013-02-04,1750,2013,2
"36",2013-02-05,1730,2013,2
"37",2013-02-06,1680,2013,2
"38",2013-02-07,1590,2013,2
"39",2013-02-08,1940,2013,2
"40",2013-02-09,2410,2013,2
"41",2013-02-10,2730,2013,2
"42",2013-02-11,3200,2013,2
"43",2013-02-12,3560,2013,2
"44",2013-02-13,3660,2013,2
"45",2013-02-14,3530,2013,2
"46",2013-02-15,3350,2013,2
"47",2013-02-16,3330,2013,2
"48",2013-02-17,3370,2013,2
"49",2013-02-18,3210,2013,2
"50",2013-02-19,2710,2013,2
"51",2013-02-20,2400,2013,2
"52",2013-02-21,2190,2013,2
"53",2013-02-22,2040,2013,2
"54",2013-02-23,2130,2013,2
"55",2013-02-24,2720,2013,2
"56",2013-02-25,3270,2013,2
"57",2013-02-26,3770,2013,2
"58",2013-02-27,4430,2013,2
"59",2013-02-28,4960,2013,2
"60",2013-03-01,5310,2013,3
"61",2013-03-02,5480,2013,3
"62",2013-03-03,5630,2013,3
"63",2013-03-04,5700,2013,3
"64",2013-03-05,5550,2013,3
"65",2013-03-06,5090,2013,3
"66",2013-03-07,4440,2013,3
"67",2013-03-08,3770,2013,3
"68",2013-03-09,3310,2013,3
"69",2013-03-10,3040,2013,3
"70",2013-03-11,2680,2013,3
"71",2013-03-12,2170,2013,3
"72",2013-03-13,1970,2013,3
"73",2013-03-14,1940,2013,3
"74",2013-03-15,2090,2013,3
"75",2013-03-16,2220,2013,3
"76",2013-03-17,2380,2013,3
"77",2013-03-18,2410,2013,3
"78",2013-03-19,2190,2013,3
"79",2013-03-20,2020,2013,3
"80",2013-03-21,1930,2013,3
"81",2013-03-22,1830,2013,3
"82",2013-03-23,1560,2013,3
"83",2013-03-24,1400,2013,3
"84",2013-03-25,1380,2013,3
"85",2013-03-26,1370,2013,3
"86",2013-03-27,1490,2013,3
"87",2013-03-28,1810,2013,3
"88",2013-03-29,1970,2013,3
"89",2013-03-30,1930,2013,3
"90",2013-03-31,1840,2013,3
"91",2013-04-01,1760,2013,4
"92",2013-04-02,1840,2013,4
"93",2013-04-03,2010,2013,4
"94",2013-04-04,2180,2013,4
"95",2013-04-05,2280,2013,4
"96",2013-04-06,2360,2013,4
"97",2013-04-07,2600,2013,4
"98",2013-04-08,3060,2013,4
"99",2013-04-09,3220,2013,4
"100",2013-04-10,3050,2013,4
"101",2013-04-11,2770,2013,4
"102",2013-04-12,2540,2013,4
"103",2013-04-13,2250,2013,4
"104",2013-04-14,2040,2013,4
"105",2013-04-15,2080,2013,4
"106",2013-04-16,2120,2013,4
"107",2013-04-17,1970,2013,4
"108",2013-04-18,1820,2013,4
"109",2013-04-19,1680,2013,4
"110",2013-04-20,1670,2013,4
"111",2013-04-21,1640,2013,4
"112",2013-04-22,1600,2013,4
"113",2013-04-23,1660,2013,4
"114",2013-04-24,1540,2013,4
"115",2013-04-25,1350,2013,4
"116",2013-04-26,1300,2013,4
"117",2013-04-27,1260,2013,4
"118",2013-04-28,1200,2013,4
"119",2013-04-29,1130,2013,4
"120",2013-04-30,1280,2013,4
"121",2013-05-01,1670,2013,5
"122",2013-05-02,2630,2013,5
"123",2013-05-03,2880,2013,5
"124",2013-05-04,2710,2013,5
"125",2013-05-05,2300,2013,5
"126",2013-05-06,1930,2013,5
"127",2013-05-07,1670,2013,5
"128",2013-05-08,1510,2013,5
"129",2013-05-09,2170,2013,5
"130",2013-05-10,2840,2013,5
"131",2013-05-11,3190,2013,5
"132",2013-05-12,3450,2013,5
"133",2013-05-13,3630,2013,5
"134",2013-05-14,3660,2013,5
"135",2013-05-15,3560,2013,5
"136",2013-05-16,3370,2013,5
"137",2013-05-17,2580,2013,5
"138",2013-05-18,1730,2013,5
"139",2013-05-19,1390,2013,5
"140",2013-05-20,1300,2013,5
"141",2013-05-21,1230,2013,5
