"","Date_monthrounded","AvgCa_mg.L","AvgMg_mg.L","AvgNa_mg.L","AvgSpC_uS.cm"
"1",1976-01-01,NA,NA,NA,NA
"2",1976-02-01,3.55,1.25,5.95,NA
"3",1976-03-01,5.5,1.7,8.5,NA
"4",1976-04-01,7.2,1.7,9.5,NA
"5",1976-05-01,5.2,1.3,8.5,NA
"6",1976-06-01,5.3,1.6,8.8,NA
"7",1976-07-01,6.6,1.6,8,NA
"8",1976-08-01,7.2,2.2,14,NA
"9",1976-09-01,5.4,1.6,11,NA
"10",1976-10-01,7,2,15,NA
"11",1976-11-01,8,2,11,NA
"12",1976-12-01,5.55,2,8.65,NA
"13",1977-01-01,NA,NA,NA,NA
"14",1977-02-01,6,2.3,9.3,NA
"15",1977-03-01,3.8,1.7,5,NA
"16",1977-04-01,NA,NA,NA,NA
"17",1977-05-01,7.4,1.8,9.7,NA
"18",1977-06-01,7.3,2.3,13,NA
"19",1977-07-01,8.8,2.3,13,NA
"20",1977-08-01,7.9,2.3,13,NA
"21",1977-09-01,3.8,1.3,4.6,NA
"22",1977-10-01,7,2.1,11,NA
"23",1977-11-01,4.5,1.8,6.1,NA
"24",1977-12-01,4.8,1.8,7.3,NA
"25",1978-01-01,3.35,1.45,4.55,NA
"26",1978-02-01,4.4,1.8,8.6,NA
"27",1978-03-01,4.3,1.5,5.9,NA
"28",1978-04-01,4.4,1.6,5.9,NA
"29",1978-05-01,4.5,1.8,4.8,NA
"30",1978-06-01,3.9,1.4,5,NA
"31",1978-07-01,5.8,1.9,6.5,NA
"32",1978-08-01,5.4,1.6,5.1,NA
"33",1978-09-01,6.6,2.3,12,NA
"34",1978-10-01,7.2,2.3,14,NA
"35",1978-11-01,6.4,2.1,13,NA
"36",1978-12-01,3.9,2.1,7.7,NA
"37",1979-01-01,NA,NA,NA,NA
"38",1979-02-01,4.7,1.8,7.3,NA
"39",1979-03-01,3.7,1.5,4.3,NA
"40",1979-04-01,4.1,1.6,5.5,NA
"41",1979-05-01,3.9,1.6,5,NA
"42",1979-06-01,3.7,1.4,3.3,NA
"43",1979-07-01,5.5,2.1,8.8,NA
"44",1979-08-01,6.2,2.2,9.4,NA
"45",1979-09-01,3,1.2,3.9,NA
"46",1979-10-01,5,1.7,8,NA
"47",1979-11-01,5.2,2,13,NA
"48",1979-12-01,4.3,1.7,7,NA
"49",1980-01-01,4.3,1.8,6.1,NA
"50",1980-02-01,4.4,1.7,7,NA
"51",1980-03-01,3.9,1.6,5.6,NA
"52",1980-04-01,4.1,1.6,5.2,NA
"53",1980-05-01,4.9,2.3,8.8,NA
"54",1980-06-01,5.4,2.5,11,NA
"55",1980-07-01,4,2,15,NA
"56",1980-08-01,4.5,2.5,15,NA
"57",1980-09-01,5.2,2.8,21,NA
"58",1980-10-01,6.7,2.5,12,135
"59",1980-11-01,6,2.3,11,120
"60",1980-12-01,5.5,2.3,11,115
"61",1981-01-01,4.2,2,13,120
"62",1981-02-01,5,2.1,12,115
"63",1981-03-01,5.5,2.1,10,110
"64",1981-04-01,5.2,2.6,12,120
"65",1981-05-01,4.8,2.2,13,124
"66",1981-06-01,3.9,1.8,10,91
"67",1981-07-01,4.8,2.5,15,122
"68",1981-08-01,6,2.7,5.9,84
"69",1981-09-01,4.9,2,6.4,82
"70",1981-10-01,5.5,2.4,13,116
"71",1981-11-01,6.9,2.5,12,125
"72",1981-12-01,NA,NA,NA,NA
"73",1982-01-01,3.7,1.8,5.3,67
"74",1982-02-01,NA,NA,NA,NA
"75",1982-03-01,4.9,2,7.4,81
"76",1982-04-01,NA,NA,NA,NA
"77",1982-05-01,4.5,1.7,6.6,66
"78",1982-06-01,NA,NA,NA,NA
"79",1982-07-01,4.5,2.1,7.9,93
"80",1982-08-01,NA,NA,NA,NA
"81",1982-09-01,5.3,2.4,16,134
"82",1982-10-01,NA,NA,NA,NA
"83",1982-11-01,6.2,2.3,9.4,106
"84",1982-12-01,NA,NA,NA,NA
"85",1983-01-01,4.8,2.1,7.1,77
"86",1983-02-01,NA,NA,NA,NA
"87",1983-03-01,4.6,1.8,5.8,62
"88",1983-04-01,NA,NA,NA,NA
"89",1983-05-01,5.5,2.3,8,82
"90",1983-06-01,NA,NA,NA,NA
"91",1983-07-01,6.3,2.4,9.9,104
"92",1983-08-01,7.6,2.7,21,170
"93",1983-09-01,NA,NA,NA,NA
"94",1983-10-01,NA,NA,NA,NA
"95",1983-11-01,7.9,2.6,19,170
"96",1983-12-01,NA,NA,NA,NA
"97",1984-01-01,5.3,2.1,7.6,89
"98",1984-02-01,NA,NA,NA,NA
"99",1984-03-01,4.1,1.7,5.6,65
"100",1984-04-01,NA,NA,NA,NA
"101",1984-05-01,4.7,1.8,6.6,78
"102",1984-06-01,NA,NA,NA,NA
"103",1984-07-01,5.2,1.9,11,111
"104",1984-08-01,NA,NA,NA,NA
"105",1984-09-01,5.6,2.3,11,117
"106",1984-10-01,NA,NA,NA,NA
"107",1984-11-01,6.3,2.4,11,115
"108",1984-12-01,NA,NA,NA,NA
"109",1985-01-01,4.7,1.8,8.1,90
"110",1985-02-01,NA,NA,NA,NA
"111",1985-03-01,5.6,2.1,11,113
"112",1985-04-01,NA,NA,NA,NA
"113",1985-05-01,5.9,2.4,15,136
"114",1985-06-01,NA,NA,NA,NA
"115",1985-07-01,5.8,2.3,12,117
"116",1985-08-01,NA,NA,NA,NA
"117",1985-09-01,7,2.6,15,142
"118",1985-10-01,NA,NA,NA,NA
"119",1985-11-01,7.6,2.7,14,149
"120",1985-12-01,NA,NA,NA,NA
"121",1986-01-01,6.7,2.4,12,128
"122",1986-02-01,NA,NA,NA,NA
"123",1986-03-01,6.1,2.2,11,108
