"","ActivityStartDate","HydrologicCondition","Mg_mg.L","Ca_mg.L","Na_mg.L","SpC_uS.cm","Year","Month","Date_monthrounded"
"1",1976-02-03,"Not determined",1.1,3.2,4.7,NA,1976,2,1976-02-01
"2",1976-02-24,"Not determined",1.4,3.9,7.2,NA,1976,2,1976-02-01
"3",1976-03-30,"Not determined",1.7,5.5,8.5,NA,1976,3,1976-03-01
"4",1976-04-16,"Not determined",1.7,7.2,9.5,NA,1976,4,1976-04-01
"5",1976-05-26,"Not determined",1.3,5.2,8.5,NA,1976,5,1976-05-01
"6",1976-06-29,"Not determined",1.6,5.3,8.8,NA,1976,6,1976-06-01
"7",1976-07-29,"Not determined",1.6,6.6,8,NA,1976,7,1976-07-01
"8",1976-08-19,"Not determined",2.2,7.2,14,NA,1976,8,1976-08-01
"9",1976-09-21,"Not determined",1.6,5.4,11,NA,1976,9,1976-09-01
"10",1976-10-06,"Not determined",2,7,15,NA,1976,10,1976-10-01
"11",1976-11-10,"Not determined",2,8,11,NA,1976,11,1976-11-01
"12",1976-12-08,"Not determined",2.1,6.1,11,NA,1976,12,1976-12-01
"13",1976-12-20,"Not determined",1.9,5,6.3,NA,1976,12,1976-12-01
"14",1977-02-22,"Not determined",2.3,6,9.3,NA,1977,2,1977-02-01
"15",1977-03-22,"Not determined",1.7,3.8,5,NA,1977,3,1977-03-01
"16",1977-05-24,"Not determined",1.8,7.4,9.7,NA,1977,5,1977-05-01
"17",1977-06-28,"Not determined",2.3,7.3,13,NA,1977,6,1977-06-01
"18",1977-07-26,"Not determined",2.3,8.8,13,NA,1977,7,1977-07-01
"19",1977-08-16,"Not determined",2.3,7.9,13,NA,1977,8,1977-08-01
"20",1977-09-13,"Not determined",1.3,3.8,4.6,NA,1977,9,1977-09-01
"21",1977-10-26,"Not determined",2.1,7,11,NA,1977,10,1977-10-01
"22",1977-11-14,"Not determined",1.8,4.5,6.1,NA,1977,11,1977-11-01
"23",1977-12-21,"Not determined",1.8,4.8,7.3,NA,1977,12,1977-12-01
"24",1978-01-25,"Not determined",1.4,3.3,4.6,NA,1978,1,1978-01-01
"25",1978-01-30,"Not determined",1.5,3.4,4.5,NA,1978,1,1978-01-01
"26",1978-02-28,"Not determined",1.8,4.4,8.6,NA,1978,2,1978-02-01
